nside,source,level,scenario,method,n_gal,n_rand,A_add,A_mult,A_tot,dA_add,dA_mult,dA_tot,A_over_dA,bias_contaminated,bias_recovered,improvement
32,glass,high,combined,ElasticNet,241930,2422599,0.17460624399386934,0.1909314727409291,0.2587318452078653,0.0839008642892292,0.1909314727409291,0.20855258883912184,1.2406072091843074,21.472031589177416,0.6523984501833665,32.91245033329306
32,glass,high,combined,MCMC-add,241930,2422599,0.17460624399386934,0.1909314727409291,0.2587318452078653,0.08309083566470969,0.1909314727409291,0.20822803426647415,1.2425408812953604,21.472031589177416,1.244454535029788,17.25417119289412
32,glass,high,combined,MCMC-comb,241930,2422599,0.17460624399386934,0.1909314727409291,0.2587318452078653,0.07779994917707155,0.07950157780874195,0.11123548429361184,2.325982997699989,21.472031589177416,0.9848452434075183,21.802442295284074
64,uchuu,low,additive,OLS,330748,2256239,0.035807606026204274,0.0,0.035807606026204274,0.08234321482990926,0.0,0.08234321482990926,0.43485800378537065,0.023180392299313266,0.040040088748959944,0.5789295934044448
64,uchuu,low,additive,ISD-1,330748,2256239,0.035807606026204274,0.0,0.035807606026204274,0.08402990778861831,0.0,0.08402990778861831,0.42612930287011863,0.023180392299313266,0.04104674113518772,0.5647316122604834
64,uchuu,low,additive,ElasticNet,330748,2256239,0.035807606026204274,0.0,0.035807606026204274,0.024768984457571794,0.0,0.024768984457571794,1.4456630665476482,0.023180392299313266,0.035453321190725154,0.6538285136845635
64,uchuu,low,additive,MCMC-add,330748,2256239,0.035807606026204274,0.0,0.035807606026204274,0.08276442093523197,0.0,0.08276442093523197,0.43264491700154384,0.023180392299313266,0.04447586710186457,0.5211903400606545
64,uchuu,low,additive,MCMC-comb,330748,2256239,0.035807606026204274,0.0,0.035807606026204274,0.08980307375265507,0.05556417093686272,0.10560288418090534,0.3390779172741463,0.023180392299313266,0.12392067306631326,0.1870583150150324
64,uchuu,low,multiplicative,OLS,330748,2256239,0.0,0.03844695685293306,0.03844695685293306,0.0390310432094695,0.03844695685293306,0.054786776007269965,0.7017561472832663,0.02959882640441337,0.034418082694769696,0.8599789438274352
64,uchuu,low,multiplicative,ISD-1,330748,2256239,0.0,0.03844695685293306,0.03844695685293306,0.038844404200324166,0.03844695685293306,0.054653968098661035,0.7034613988782815,0.02959882640441337,0.034294724978150386,0.8630722778290587
64,uchuu,low,multiplicative,ElasticNet,330748,2256239,0.0,0.03844695685293306,0.03844695685293306,0.0,0.03844695685293306,0.03844695685293306,1.0,0.02959882640441337,0.02959882640441513,0.9999999999999405
64,uchuu,low,multiplicative,MCMC-add,330748,2256239,0.0,0.03844695685293306,0.03844695685293306,0.03887147344790135,0.03844695685293306,0.05467321043493053,0.7032138143541217,0.02959882640441337,0.03943455395932322,0.7505809862828571
64,uchuu,low,multiplicative,MCMC-comb,330748,2256239,0.0,0.03844695685293306,0.03844695685293306,0.04123694027772126,0.05186681285575148,0.0662619915130982,0.5802264009124015,0.02959882640441337,0.07325985916955689,0.4040251611173333
64,uchuu,low,combined,OLS,330748,2256239,0.035807606026204274,0.03844695685293306,0.05253906299677562,0.08333346661224293,0.03844695685293306,0.09177491568432578,0.5724773769064738,0.05065959568359694,0.06870931084412679,0.737303213512398
64,uchuu,low,combined,ISD-1,330748,2256239,0.035807606026204274,0.03844695685293306,0.05253906299677562,0.08509852889842331,0.03844695685293306,0.0933805553202972,0.562633867581592,0.05065959568359694,0.06856514350311489,0.7388534916622101
64,uchuu,low,combined,ElasticNet,330748,2256239,0.035807606026204274,0.03844695685293306,0.05253906299677562,0.022957159138698006,0.03844695685293306,0.044779455635043194,1.1732849864226569,0.05065959568359694,0.06325910251633553,0.8008269745925498
64,uchuu,low,combined,MCMC-add,330748,2256239,0.035807606026204274,0.03844695685293306,0.05253906299677562,0.08310845161971005,0.03844695685293306,0.09157064607109083,0.5737544207778871,0.05065959568359694,0.0719837517669308,0.7037643140305152
64,uchuu,low,combined,MCMC-comb,330748,2256239,0.035807606026204274,0.03844695685293306,0.05253906299677562,0.08762759718682682,0.049491397853294546,0.10063793643656385,0.5220602176187615,0.05065959568359694,0.12104261927181367,0.41852692868315744
64,uchuu,medium,additive,OLS,330748,2256239,0.08951901506551067,0.0,0.08951901506551067,0.14729019053125736,0.0,0.14729019053125736,0.6077730957005809,0.018098446054571955,0.06682472784281615,0.2708345643717813
64,uchuu,medium,additive,ISD-1,330748,2256239,0.08951901506551067,0.0,0.08951901506551067,0.15251857204332778,0.0,0.15251857204332778,0.5869384552071464,0.018098446054571955,0.07874278106149048,0.22984260665671466
64,uchuu,medium,additive,ElasticNet,330748,2256239,0.08951901506551067,0.0,0.08951901506551067,0.06142929135931653,0.0,0.06142929135931653,1.4572692128562863,0.018098446054571955,0.07514780225400415,0.24083799541333364
64,uchuu,medium,additive,MCMC-add,330748,2256239,0.08951901506551067,0.0,0.08951901506551067,0.14712341784708138,0.0,0.14712341784708138,0.6084620407510913,0.018098446054571955,0.08930345023286157,0.2026623384357456
64,uchuu,medium,additive,MCMC-comb,330748,2256239,0.08951901506551067,0.0,0.08951901506551067,0.15436519393367137,0.0771432529339084,0.1725679418994297,0.5187464953234545,0.018098446054571955,0.18246770105070959,0.09918712161305862
64,uchuu,medium,multiplicative,OLS,330748,2256239,0.0,0.09611739213233264,0.09611739213233264,0.040548376286576975,0.09611739213233264,0.10432029471679247,0.9213681038121204,0.066782377667743,0.07234742862539595,0.9230788009554847
64,uchuu,medium,multiplicative,ISD-1,330748,2256239,0.0,0.09611739213233264,0.09611739213233264,0.0405500561399131,0.09611739213233264,0.10432094767241479,0.9213623368736767,0.066782377667743,0.07248493774470967,0.9213276543459146
