nside,logM,basis,theta_arcmin,exact,auto_only,frac_error
32,11.0,pca-rotated,29.3011,1.146689e-02,1.051327e-02,-0.083162
32,11.0,pca-rotated,52.4136,1.120283e-02,1.022659e-02,-0.087142
32,11.0,pca-rotated,93.7568,1.043337e-02,9.397477e-03,-0.099286
32,11.0,pca-rotated,167.7112,8.612421e-03,7.490362e-03,-0.130284
32,11.0,pca-rotated,300.0000,6.385509e-03,5.489524e-03,-0.140315
32,11.25,original,0.5000,5.641516e-03,1.214253e-01,20.523518
32,11.25,original,0.8944,5.641471e-03,1.214248e-01,20.523601
32,11.25,original,1.5999,5.641330e-03,1.214232e-01,20.523865
32,11.25,original,2.8619,5.640876e-03,1.214182e-01,20.524711
32,11.25,original,5.1193,5.639426e-03,1.214023e-01,20.527418
32,11.25,original,9.1573,5.634791e-03,1.213513e-01,20.536081
32,11.25,original,16.3804,5.620002e-03,1.211886e-01,20.563804
32,11.25,original,29.3011,5.573123e-03,1.206723e-01,20.652545
32,11.25,original,52.4136,5.427568e-03,1.190632e-01,20.936742
32,11.25,original,93.7568,5.004749e-03,1.143299e-01,21.844281
32,11.25,original,167.7112,4.015616e-03,1.027326e-01,24.583283
32,11.25,original,300.0000,2.873274e-03,8.594340e-02,28.911313
32,11.25,pca-rotated,0.5000,5.641516e-03,5.349478e-03,-0.051766
32,11.25,pca-rotated,0.8944,5.641471e-03,5.349431e-03,-0.051767
32,11.25,pca-rotated,1.5999,5.641330e-03,5.349279e-03,-0.051770
32,11.25,pca-rotated,2.8619,5.640876e-03,5.348793e-03,-0.051780
32,11.25,pca-rotated,5.1193,5.639426e-03,5.347240e-03,-0.051811
32,11.25,pca-rotated,9.1573,5.634791e-03,5.342274e-03,-0.051913
32,11.25,pca-rotated,16.3804,5.620002e-03,5.326434e-03,-0.052236
32,11.25,pca-rotated,29.3011,5.573123e-03,5.276245e-03,-0.053270
32,11.25,pca-rotated,52.4136,5.427568e-03,5.120655e-03,-0.056547
32,11.25,pca-rotated,93.7568,5.004749e-03,4.671037e-03,-0.066679
32,11.25,pca-rotated,167.7112,4.015616e-03,3.640032e-03,-0.093531
32,11.25,pca-rotated,300.0000,2.873274e-03,2.579926e-03,-0.102096
32,11.5,original,0.5000,1.682662e-03,2.957635e-02,16.577118
32,11.5,original,0.8944,1.682641e-03,2.957618e-02,16.577242
32,11.5,original,1.5999,1.682572e-03,2.957564e-02,16.577640
32,11.5,original,2.8619,1.682352e-03,2.957392e-02,16.578914
32,11.5,original,5.1193,1.681649e-03,2.956842e-02,16.582991
32,11.5,original,9.1573,1.679403e-03,2.955084e-02,16.596044
32,11.5,original,16.3804,1.672238e-03,2.949476e-02,16.637898
32,11.5,original,29.3011,1.649550e-03,2.931696e-02,16.772703
32,11.5,original,52.4136,1.579357e-03,2.876494e-02,17.213068
32,11.5,original,93.7568,1.377887e-03,2.716128e-02,18.712263
32,11.5,original,167.7112,9.276666e-04,2.340499e-02,24.229962
32,11.5,original,300.0000,5.325470e-04,1.895380e-02,34.590847
32,11.5,pca-rotated,0.5000,1.682662e-03,2.036326e-03,0.210181
32,11.5,pca-rotated,0.8944,1.682641e-03,2.036306e-03,0.210185
32,11.5,pca-rotated,1.5999,1.682572e-03,2.036240e-03,0.210195
32,11.5,pca-rotated,2.8619,1.682352e-03,2.036029e-03,0.210228
32,11.5,pca-rotated,5.1193,1.681649e-03,2.035355e-03,0.210333
32,11.5,pca-rotated,9.1573,1.679403e-03,2.033201e-03,0.210669
32,11.5,pca-rotated,16.3804,1.672238e-03,2.026329e-03,0.211747
32,11.5,pca-rotated,29.3011,1.649550e-03,2.004564e-03,0.215219
32,11.5,pca-rotated,52.4136,1.579357e-03,1.937147e-03,0.226541
32,11.5,pca-rotated,93.7568,1.377887e-03,1.742888e-03,0.264899
32,11.5,pca-rotated,167.7112,9.276666e-04,1.302219e-03,0.403758
32,11.5,pca-rotated,300.0000,5.325470e-04,8.759845e-04,0.644896
32,9.0,original,0.5000,2.356849e-02,3.840584e-01,15.295420
32,9.0,original,0.8944,2.356833e-02,3.840569e-01,15.295466
32,9.0,original,1.5999,2.356783e-02,3.840523e-01,15.295615
32,9.0,original,2.8619,2.356623e-02,3.840374e-01,15.296092
32,9.0,original,5.1193,2.356111e-02,3.839899e-01,15.297616
32,9.0,original,9.1573,2.354473e-02,3.838378e-01,15.302492
32,9.0,original,16.3804,2.349248e-02,3.833525e-01,15.318093
32,9.0,original,29.3011,2.332676e-02,3.818118e-01,15.367974
32,9.0,original,52.4136,2.281135e-02,3.770059e-01,15.527123
32,9.0,original,93.7568,2.130574e-02,3.628286e-01,16.029614
32,9.0,original,167.7112,1.771156e-02,3.277423e-01,17.504426
32,9.0,original,300.0000,1.315073e-02,2.750121e-01,19.912304
32,9.0,pca-rotated,0.5000,2.356849e-02,2.124417e-02,-0.098620
32,9.0,pca-rotated,0.8944,2.356833e-02,2.124399e-02,-0.098621
32,9.0,pca-rotated,1.5999,2.356783e-02,2.124342e-02,-0.098626
32,9.0,pca-rotated,2.8619,2.356623e-02,2.124159e-02,-0.098643
32,9.0,pca-rotated,5.1193,2.356111e-02,2.123573e-02,-0.098696
32,9.0,pca-rotated,9.1573,2.354473e-02,2.121700e-02,-0.098864
32,9.0,pca-rotated,16.3804,2.349248e-02,2.115726e-02,-0.099403
32,9.0,pca-rotated,29.3011,2.332676e-02,2.096793e-02,-0.101121
32,9.0,pca-rotated,52.4136,2.281135e-02,2.038067e-02,-0.106556
32,9.0,pca-rotated,93.7568,2.130574e-02,1.868049e-02,-0.123218
32,9.0,pca-rotated,167.7112,1.771156e-02,1.475481e-02,-0.166939
32,9.0,pca-rotated,300.0000,1.315073e-02,1.056400e-02,-0.196699
32,9.5,original,0.5000,2.347602e-02,4.755259e-01,19.255810
32,9.5,original,0.8944,2.347587e-02,4.755241e-01,19.255865
32,9.5,original,1.5999,2.347540e-02,4.755186e-01,19.256041
32,9.5,original,2.8619,2.347387e-02,4.755009e-01,19.256603
32,9.5,original,5.1193,2.346900e-02,4.754444e-01,19.258401
32,9.5,original,9.1573,2.345342e-02,4.752637e-01,19.264156
32,9.5,original,16.3804,2.340369e-02,4.746868e-01,19.282563
32,9.5,original,29.3011,2.324596e-02,4.728551e-01,19.341394
32,9.5,original,52.4136,2.275522e-02,4.671390e-01,19.528872
32,9.5,original,93.7568,2.132008e-02,4.502496e-01,20.118569
32,9.5,original,167.7112,1.788082e-02,4.082222e-01,21.830169
32,9.5,original,300.0000,1.345253e-02,3.437379e-01,24.551911
32,9.5,pca-rotated,0.5000,2.347602e-02,2.108215e-02,-0.101971
32,9.5,pca-rotated,0.8944,2.347587e-02,2.108198e-02,-0.101972
32,9.5,pca-rotated,1.5999,2.347540e-02,2.108147e-02,-0.101976
32,9.5,pca-rotated,2.8619,2.347387e-02,2.107981e-02,-0.101989
32,9.5,pca-rotated,5.1193,2.346900e-02,2.107450e-02,-0.102028
32,9.5,pca-rotated,9.1573,2.345342e-02,2.105754e-02,-0.102155
32,9.5,pca-rotated,16.3804,2.340369e-02,2.100343e-02,-0.102559
32,9.5,pca-rotated,29.3011,2.324596e-02,2.083197e-02,-0.103845
32,9.5,pca-rotated,52.4136,2.275522e-02,2.030008e-02,-0.107894
32,9.5,pca-rotated,93.7568,2.132008e-02,1.875972e-02,-0.120091
32,9.5,pca-rotated,167.7112,1.788082e-02,1.519847e-02,-0.150013
32,9.5,pca-rotated,300.0000,1.345253e-02,1.135571e-02,-0.155868
