k,mode,mock_id,n_galaxies,lrt_lambda,lrt_reject,lrt_correct,snr_a,snr_b,a_true,b_true,a_hat,b_hat,tp,fp
2,multiplicative,2,228628,76.05919162735881,True,True,"[1.0121236279649073, 0.677619887002152, 4.795838371119731, 4.4666144134949075]","[1.6878229804340932, 7.426581376397229, 0.12243591868603894, 4.175118158085861]","[0.0, 0.0, 0.0, 0.0]","[-0.04616091669567478, -0.07052086966132029, 0.0, 0.0]","[0.006383643128616222, 0.004210436065202738, 0.03054803803095346, 0.027826814842149637]","[-0.01380234277201264, -0.05662325425484999, -0.0009187645855805226, 0.03081919037594745]",0.5,0.5
2,multiplicative,3,252516,827.318285231815,True,True,"[1.1654146921558584, 0.8992280438870703, 6.04704515080036, 4.9493013995659645]","[27.73486906623726, 15.290740664537497, 12.489236617809587, 0.8185694878747182]","[0.0, 0.0, 0.0, 0.0]","[0.1939628256039105, 0.12390768035248194, 0.0, 0.0]","[0.008234315598560873, 0.006269074464934566, -0.04311919937253874, -0.03465461648009554]","[0.17263065856419718, 0.10993480371447699, -0.0809613852638064, -0.006262720064481109]",1.0,0.5
2,multiplicative,4,244244,614.2462096625604,True,True,"[0.6944493129338835, 0.2891981914818874, 3.260629756145966, 5.396944597077452]","[9.027476795630426, 22.97717204951224, 1.207389912813637, 9.201890145927612]","[0.0, 0.0, 0.0, 0.0]","[-0.06667052058737304, -0.18130936749134813, 0.0, 0.0]","[-0.005506079308285245, -0.00225626760658987, 0.02597368826211763, 0.04224772550957079]","[-0.06643772321662193, -0.16070111892348443, -0.00914010363406444, 0.06586667483898566]",1.0,0.5
2,combined,0,244235,523.0588165128356,True,True,"[7.308801842655437, 31.466524912417256, 1.3758075810965182, 3.615493919180868]","[24.012034623879753, 11.049807431016351, 0.8840192772768155, 2.9133222681591793]","[-0.05395026835070856, 0.1805512652231566, 0.0, 0.0]","[0.20953021794271406, 0.04758538913768311, 0.0, 0.0]","[-0.042541352648413494, 0.18057072743884514, 0.008088587337910937, 0.020781549905315947]","[0.165380963859864, 0.07707137641133, -0.007445692097671105, 0.02215340444574938]",1.0,0.5
2,combined,1,241780,113.30801624798005,True,True,"[14.941283453021638, 19.430597850563903, 0.0643401757061313, 4.600063462294828]","[1.297874067157763, 9.41445844482175, 2.586299027733226, 4.559842001414212]","[-0.09467123636480955, 0.1393706251460694, 0.0, 0.0]","[0.005072177427518137, -0.10740484127435886, 0.0, 0.0]","[-0.1044951346393721, 0.13375678385286655, 0.0004511989250739704, -0.03176599156152024]","[-0.010132952528309026, -0.07551795493764174, 0.022424356783010278, -0.03633780943463814]",1.0,1.0
2,combined,2,229078,67.34785890510648,True,True,"[7.743419006313444, 11.134761505785475, 5.17127877622854, 3.5708065131408033]","[7.414184237541121, 2.4657375017561285, 1.2226361544489242, 3.2575144772758318]","[-0.04616091669567478, -0.07052086966132029, 0.0, 0.0]","[0.04876832397762646, -0.027820779510864316, 0.0, 0.0]","[-0.048823811528248544, -0.069164897358485, 0.03292915745730691, 0.022238999095020532]","[0.06063865889049962, -0.018854134183000852, -0.00942765773587787, 0.024084988578965138]",1.0,1.0
2,combined,3,253762,821.7099227277904,True,True,"[28.284446440082384, 17.62020761804345, 6.494250595145086, 5.450806293336222]","[33.171049548610256, 0.9876085843093346, 11.38660150166709, 3.49548429458925]","[0.1939628256039105, 0.12390768035248194, 0.0, 0.0]","[0.20822073825802206, -0.018909329551211367, 0.0, 0.0]","[0.1983476802210199, 0.1219205827566546, -0.04596094424696304, -0.03788003452498471]","[0.2107872083278578, -0.00727815239535225, -0.07656487496487499, -0.027647801654522835]",1.0,1.0
2,combined,4,243320,1191.0271966412874,True,True,"[9.748424207457884, 23.192116446532918, 3.299150803728458, 5.259144908119122]","[43.691423965106054, 8.731610792935987, 0.8011596372531374, 7.632301962939139]","[-0.06667052058737304, -0.18130936749134813, 0.0, 0.0]","[-0.24260903243804366, -0.05918327160177793, 0.0, 0.0]","[-0.07964567644753659, -0.1864495305112527, 0.027080718294744052, 0.042422512475128175]","[-0.22881335904454547, -0.06121205109446262, -0.005748639574262091, 0.05265744827252556]",1.0,1.0
3,additive,0,231266,27.638152769299268,True,False,"[39.54452346057431, 20.44700766123113, 24.32097676091701, 6.353552463932272]","[2.7267307061530706, 1.8007600207126153, 2.520348923773429, 3.313376880894413]","[0.2361961714752195, 0.11149250800542286, -0.14548332263364863, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.23509182916248111, 0.11984347838515914, -0.1460434471249726, -0.03730035807119883]","[0.022290095519136917, 0.013781876105917789, -0.020867634904525232, -0.026882670553264956]",1.0,1.0
3,additive,1,231684,74.46479038940015,True,False,"[3.836494525875543, 22.712214998148422, 16.20406555557248, 0.5911291131889559]","[3.377410195804468, 0.7157043292086863, 8.005430170438538, 1.8312815000007396]","[0.03523757588638098, 0.1418699975864273, -0.11189400901200909, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.02528931930758536, 0.1473613315221179, -0.10710363171717242, 0.0038474708132706214]","[-0.02776356808318905, 0.005871855021909453, 0.056538549306592904, 0.014488197630978491]",1.0,0.0
